,4,10
319,reorder,384x1x1x3x3
320,convolution,mb1_g384ic384oc384_ih14oh14kh3sh1dh0ph1_iw14ow14kw3sw1dw0pw1
321,reorder,64x384x1x1
322,convolution,mb1_ic384oc64_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
323,reorder,96x384x1x1
324,convolution,mb1_ic384oc96_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
325,reorder,1x96x14x14
326,reorder,576x1x1x3x3
327,convolution,mb1_g576ic576oc576_ih14oh14kh3sh1dh0ph1_iw14ow14kw3sw1dw0pw1
328,reorder,96x576x1x1
329,convolution,mb1_ic576oc96_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
330,convolution,mb1_g576ic576oc576_ih14oh7kh3sh2dh0ph1_iw14ow7kw3sw2dw0pw1
331,reorder,160x576x1x1
332,convolution,mb1_ic576oc160_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
333,reorder,1x160x7x7
334,reorder,960x1x1x3x3
335,convolution,mb1_g960ic960oc960_ih7oh7kh3sh1dh0ph1_iw7ow7kw3sw1dw0pw1
336,reorder,160x960x1x1
337,convolution,mb1_ic960oc160_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
338,reorder,320x960x1x1
339,convolution,mb1_ic960oc320_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
340,reorder,1x320x7x7
341,reorder,64x3x11x11
342,convolution,mb1_ic3oc64_ih224oh55kh11sh4dh0ph2_iw224ow55kw11sw4dw0pw2
343,reorder,1x64x55x55
344,reorder,1x64x27x27
345,reorder,192x64x5x5
346,convolution,mb1_ic64oc192_ih27oh27kh5sh1dh0ph2_iw27ow27kw5sw1dw0pw2
347,reorder,1x192x27x27
348,reorder,1x192x13x13
349,reorder,384x192x3x3
350,convolution,mb1_ic192oc384_ih13oh13kh3sh1dh0ph1_iw13ow13kw3sw1dw0pw1
351,reorder,1x384x13x13
352,reorder,256x384x3x3
